nameWithOwner,createdAt,pullRequests,releases,updatedAt,primaryLanguage,issues,closedIssues,ageInYears,ageInMonths,releasesMonth,daysFromUpdate
tonsky/FiraCode,11/11/2014 19:32:38,178,29,08/03/2023 12:45:29,Clojure,1259,906,8,101.89886025,0.28459592117959925,1.7516408333333333
doocs/advanced-java,06/10/2018 11:38:30,114,1,08/03/2023 14:07:32,Java,139,137,4,53.89560099074074,0.01855438999876446,0.3841408333333334
bitcoin/bitcoin,19/12/2010 15:16:43,18808,40,08/03/2023 14:02:57,C++,7334,6942,12,149.47436950925925,0.2676044069048385,0.4605297222222222
vuejs/awesome-vue,20/10/2015 00:16:14,3743,0,08/03/2023 13:02:34,,211,181,7,90.34130469444445,0.0,1.466918611111111
microsoft/Web-Dev-For-Beginners,10/11/2020 02:44:00,747,0,08/03/2023 13:58:58,JavaScript,226,217,2,28.65921210185185,0.0,0.5269186111111112
ripienaar/free-for-dev,18/03/2015 21:06:26,2706,0,08/03/2023 14:16:46,HTML,0,0,7,97.61341580555556,0.0,0.23025194444444447
opencv/opencv,19/07/2012 09:40:17,13690,59,08/03/2023 12:44:25,C++,9530,7176,10,129.62794358333335,0.4551487771004477,1.769418611111111
gin-gonic/gin,16/06/2014 23:57:25,1518,24,08/03/2023 14:01:04,Go,1993,1501,8,106.68509173148149,0.224961141341156,0.4919186111111111
sveltejs/svelte,20/11/2016 18:13:05,3287,0,08/03/2023 14:13:30,TypeScript,4887,4126,6,77.27638802777777,0.0,0.2846963888888889
spring-projects/spring-boot,19/10/2012 15:02:57,5590,163,08/03/2023 14:11:39,Java,28583,28014,10,127.14868432407407,1.281963717253643,0.31552972222222225
typicode/json-server,27/11/2013 13:21:13,354,12,08/03/2023 13:52:24,JavaScript,1036,467,9,112.97186950925926,0.10622113320888675,0.6363630555555556
gohugoio/hugo,04/07/2013 15:26:26,4289,217,08/03/2023 14:13:09,Go,6382,5738,9,118.53563802777778,1.8306730668556233,0.29052972222222223
521xueweihan/HelloGitHub,04/05/2016 06:24:11,31,28,08/03/2023 14:22:01,Python,2431,2341,6,83.57022136111111,0.33504757488927306,0.14275194444444445
tailwindlabs/tailwindcss,06/10/2017 14:59:14,2114,209,08/03/2023 14:05:38,HTML,2748,2744,5,66.71741580555556,3.132615337037628,0.4158075
